experiment,X,tau_A,Delta_I,Delta_G,effort,value
public_precision,0.0,1.0,0.0,0.4,0.0,0.0
public_precision,0.02,1.0,0.0,0.4,0.006966160347963213,0.10187311009740636
public_precision,0.04,1.0,0.0,0.4,0.009798180454683074,0.14360678694507015
public_precision,0.06,1.0,0.0,0.4,0.011941426242707914,0.17531317687116868
public_precision,0.08,1.0,0.0,0.4,0.013724978750821706,0.2017791837129518
public_precision,0.1,1.0,0.0,0.4,0.015276789385846642,0.22486619487059473
public_precision,0.12,1.0,0.0,0.4,0.016662722077716456,0.24553247656583793
public_precision,0.14,1.0,0.0,0.4,0.017922047184933263,0.2643494524358537
public_precision,0.16,1.0,0.0,0.4,0.019080446068153404,0.28169086674777416
public_precision,0.18,1.0,0.0,0.4,0.020155823298320486,0.2978173301682293
public_precision,0.2,1.0,0.0,0.4,0.021161263741717312,0.31291933524347393
public_precision,0.22,1.0,0.0,0.4,0.022106682464451164,0.3271412574451833
public_precision,0.24,1.0,0.0,0.4,0.022999811501080502,0.34059570997645283
public_precision,0.26,1.0,0.0,0.4,0.023846822974988708,0.35337260871013854
public_precision,0.28,1.0,0.0,0.4,0.024652740187746373,0.3655451527284546
public_precision,0.3,1.0,0.0,0.4,0.025421718781814213,0.37717391479503576
public_precision,0.32,1.0,0.0,0.4,0.02615724494417733,0.3883097249835439
public_precision,0.34,1.0,0.0,0.4,0.026862278772059968,0.39899575653907976
public_precision,0.36,1.0,0.0,0.4,0.027539360299786278,0.4092690685337278
public_precision,0.38,1.0,0.0,0.4,0.028190689442100007,0.4191617690512591
public_precision,0.4,1.0,0.0,0.4,0.02881818730399782,0.42870190728119284
public_precision,0.42,1.0,0.0,0.4,0.029423543913908837,0.43791416808795863
public_precision,0.44,1.0,0.0,0.4,0.030008255889728493,0.44682042011152656
public_precision,0.46,1.0,0.0,0.4,0.030573656522014346,0.45544015354179923
public_precision,0.48,1.0,0.0,0.4,0.0311209400643954,0.4637908336092669
public_precision,0.5,1.0,0.0,0.4,0.03165118154179194,0.47188818885939504
public_precision,0.52,1.0,0.0,0.4,0.03216535305000841,0.4797464483751081
public_precision,0.54,1.0,0.0,0.4,0.03266433727954508,0.48737853860921765
public_precision,0.56,1.0,0.0,0.4,0.03314893882184966,0.49479624794967475
public_precision,0.58,1.0,0.0,0.4,0.03361989368818879,0.5020103652751445
public_precision,0.6,1.0,0.0,0.4,0.034077877375772864,0.5090307973708825
public_precision,0.62,1.0,0.0,0.4,0.03452351174412254,0.5158666690309797
public_precision,0.64,1.0,0.0,0.4,0.03495737091007652,0.522526408879354
public_precision,0.66,1.0,0.0,0.4,0.03537998632796038,0.5290178233324487
public_precision,0.68,1.0,0.0,0.4,0.035791851188982794,0.5353481606544144
public_precision,0.7000000000000001,1.0,0.0,0.4,0.036193424248562936,0.5415241666865768
public_precision,0.72,1.0,0.0,0.4,0.03658513317032204,0.5475521335423406
public_precision,0.74,1.0,0.0,0.4,0.03696737745961662,0.5534379423280373
public_precision,0.76,1.0,0.0,0.4,0.03734053104682452,0.5591871007659155
public_precision,0.78,1.0,0.0,0.4,0.037704944570405144,0.5648047764471824
public_precision,0.8,1.0,0.0,0.4,0.038060947401506534,0.5702958263230105
public_precision,0.8200000000000001,1.0,0.0,0.4,0.03840884944517671,0.575664822943679
public_precision,0.84,1.0,0.0,0.4,0.03874894274773813,0.5809160778760394
